architecture,noise_0.3,noise_0.6,noise_0.9
agent_0_reactive,0.16970562748477142,0.3535533905932738,0.4384062043356595
agent_1_memory_cap0,0.16970562748477142,0.3535533905932738,0.4384062043356595
agent_1_memory_cap200,0.01414213562373095,0.0,0.0
agent_1_memory_cap50,0.01414213562373095,0.0,0.0
agent_2_predictive_salience,0.020447326285294685,0.0017080005301677475,0.008358704349548078
agent_2_predictive_uniform,0.01967075055754238,0.0017080005301672297,0.003066409310257933
agent_3_metacognitive,0.01967075055754238,0.0017080005301672297,0.003066409310257933
